Modelo,Metrica,Media_Bootstrap,CI_95_Lower,CI_95_Upper
XGBoost (SOTA 12M),PR-AUC,0.8403,0.8334,0.8476
XGBoost (SOTA 12M),ROC-AUC,0.9752,0.974,0.9763
XGBoost (SOTA 12M),F2-Score,0.7941,0.7891,0.7992
LightGBM,PR-AUC,0.8374,0.8303,0.8449
LightGBM,ROC-AUC,0.9751,0.974,0.9763
LightGBM,F2-Score,0.7719,0.7673,0.7769
CatBoost GPU,PR-AUC,0.8331,0.8254,0.8405
CatBoost GPU,ROC-AUC,0.9698,0.9682,0.9713
CatBoost GPU,F2-Score,0.8099,0.8041,0.8156
Scorecard WOE,PR-AUC,0.7696,0.7611,0.7784
Scorecard WOE,ROC-AUC,0.9603,0.9585,0.9619
Scorecard WOE,F2-Score,0.7262,0.7212,0.7311
