,tag_NetIncomeLoss,tag_WorkingCapital,merton_distance_to_default,tag_Assets,pub_lag_days,stock_price_close,tag_RetainedEarningsAccumulatedDeficit,corp_archetype_prob_1,macro_inflation,market_cap,tag_EntityCommonStockSharesOutstanding,tag_CommonStockSharesAuthorized,macro_real_gdp_growth_yoy,news_sentiment_range_6m,tag_CommonStockParOrStatedValuePerShare,tag_CommonStockValue,macro_interest_rate,market_news_sentiment_mean,corp_archetype_prob_2,macro_regime_expansion_prob,news_sentiment_avg
tag_NetIncomeLoss,1.0,0.21327262165980962,0.26938026913470214,0.4910096882511809,-0.26131968809150335,0.16686004044769764,0.6563838671417566,0.20551885309391024,-0.049168863314817554,0.18020480232824315,0.11863068754097113,0.018772133708110574,-0.016432355442756796,0.2077658624587264,0.3576200967200984,0.35531752398199123,-0.0015992350509690366,0.010655072689834484,-0.24968012428672318,-0.011683733740506887,-0.012097533181460729
tag_WorkingCapital,0.21327262165980962,1.0,0.3186597995890871,0.56130214568276,-0.35582974458106753,0.21805960204332914,0.20932511571532633,0.00044103948249720766,0.012573917928006979,0.22732581382634012,0.19871666127995166,0.0646287653833818,-0.001546808474973674,0.2621792707378509,0.22608550570105163,0.27126715662555867,0.013196081054206398,-0.0040464270536880054,0.29277799993580483,-0.02906648359126867,-0.07318370420430187
merton_distance_to_default,0.26938026913470214,0.3186597995890871,1.0,0.4205252028191335,-0.1292145143852785,0.2394128614875712,0.21646147844677746,0.6576473223346633,-0.06659512053080048,0.2773213692971904,-0.05007006382227557,-0.08970166236401783,0.044036611684659194,0.09546305447244802,0.29250300037420324,0.2478708535051507,-0.028180186391747124,0.006362281225499511,-0.3624175464493156,0.03677411975915419,-0.03189716448428762
tag_Assets,0.4910096882511809,0.56130214568276,0.4205252028191335,1.0,-0.4774462155081209,0.27379844784853324,0.3808756592876886,0.2782221392549354,0.09375476813695362,0.29129092235421644,0.35861751115766216,0.1798980019714269,0.009199410228251761,0.34917171287728593,0.45234688794723954,0.5156886808401784,0.07127377360836927,-0.002355635067127639,-0.05114223353292781,-0.05605991280748125,-0.10403744048166981
pub_lag_days,-0.26131968809150335,-0.35582974458106753,-0.1292145143852785,-0.4774462155081209,1.0,-0.17072948066265795,-0.18802551211748,-0.03621007238522884,-0.029832544223477597,0.15089457458175945,-0.17695438974258137,-0.06446217168242174,-0.02482172952741481,-0.2287854584776438,-0.21678402262765464,-0.26930781901624556,-0.04108713711828179,0.036296562106947164,-0.09076358489487354,0.032526389205591213,0.07993859047590472
stock_price_close,0.16686004044769764,0.21805960204332914,0.2394128614875712,0.27379844784853324,-0.17072948066265795,1.0,0.11521310785923486,0.03568778466445981,0.14219889302724636,0.6886245175345723,0.14200722908191948,0.047968932679509815,0.014007695997183673,0.3037488082116065,0.14206954859828733,0.1683288528367756,0.09305371809794986,0.020643561484487934,0.01593485755740563,-0.04322433721978706,-0.12595775201259649
tag_RetainedEarningsAccumulatedDeficit,0.6563838671417566,0.20932511571532633,0.21646147844677746,0.3808756592876886,-0.18802551211748,0.11521310785923486,1.0,0.16766528909806913,-0.09834200768220447,0.13163335851649152,0.014709574940186787,-0.07079504351035915,-0.021784779010064433,0.17450490949810057,0.36118402895515883,0.32604897229773594,-0.05114732498970873,0.01671622616735497,-0.2374988239045145,0.012630850336340248,-0.0001878223476235119
corp_archetype_prob_1,0.20551885309391024,0.00044103948249720766,0.6576473223346633,0.2782221392549354,-0.03621007238522884,0.03568778466445981,0.16766528909806913,1.0,8.895678324359164e-05,0.017018867364546574,-0.13993712174884745,-0.125683674027261,-0.013471870454910074,0.013554493693395476,0.280559017946926,0.2087641979650518,0.010890466666889382,-0.0181901315764793,-0.579741010213428,-0.006324728632818225,-0.046927703221210176
macro_inflation,-0.049168863314817554,0.012573917928006979,-0.06659512053080048,0.09375476813695362,-0.029832544223477597,0.14219889302724636,-0.09834200768220447,8.895678324359164e-05,1.0,0.06027955130263534,0.05573535563077109,0.12197582767967072,0.19219577628676848,0.1379573331480214,-0.11832554875231782,-0.09593281669289225,0.6290508819003623,0.058672409628918724,0.0018045546523260297,-0.134078310061811,-0.18682336892158857
market_cap,0.18020480232824315,0.22732581382634012,0.2773213692971904,0.29129092235421644,0.15089457458175945,0.6886245175345723,0.13163335851649152,0.017018867364546574,0.06027955130263534,1.0,0.22179585669149582,0.10387291318254203,-0.03218111472674031,0.2652235654388644,0.1546958540500114,0.2039427123308476,0.04623867918858853,0.03633199235692804,0.013065478725260222,-0.036107171889859735,-0.07707768951636344
tag_EntityCommonStockSharesOutstanding,0.11863068754097113,0.19871666127995166,-0.05007006382227557,0.35861751115766216,-0.17695438974258137,0.14200722908191948,0.014709574940186787,-0.13993712174884745,0.05573535563077109,0.22179585669149582,1.0,0.7117890579645176,0.007411399477941318,0.2054468141506782,0.0002649137389541201,0.3552771047095905,0.03969162859521819,0.020400260534309902,0.002530005523479769,-0.024466466520722346,-0.013092752600275643
tag_CommonStockSharesAuthorized,0.018772133708110574,0.0646287653833818,-0.08970166236401783,0.1798980019714269,-0.06446217168242174,0.047968932679509815,-0.07079504351035915,-0.125683674027261,0.12197582767967072,0.10387291318254203,0.7117890579645176,1.0,0.019800445050260983,0.09304450845424632,-0.15265683422425075,0.09104404835000998,0.08771202665660952,0.022475257771458614,-0.08397483443815339,-0.04654632053851413,0.006957629366555393
macro_real_gdp_growth_yoy,-0.016432355442756796,-0.001546808474973674,0.044036611684659194,0.009199410228251761,-0.02482172952741481,0.014007695997183673,-0.021784779010064433,-0.013471870454910074,0.19219577628676848,-0.03218111472674031,0.007411399477941318,0.019800445050260983,1.0,-0.06609372886833323,-0.04251265328935686,-0.036306433164066024,0.11313424650778472,0.1962372509682316,0.01418752402772538,0.2374867198138465,0.09996353396152509
news_sentiment_range_6m,0.2077658624587264,0.2621792707378509,0.09546305447244802,0.34917171287728593,-0.2287854584776438,0.3037488082116065,0.17450490949810057,0.013554493693395476,0.1379573331480214,0.2652235654388644,0.2054468141506782,0.09304450845424632,-0.06609372886833323,1.0,0.18919096577625352,0.24302870734012122,0.01742092619600323,0.06524424823364741,0.038612486332225374,0.0508684730019794,-0.07657086670818933
tag_CommonStockParOrStatedValuePerShare,0.3576200967200984,0.22608550570105163,0.29250300037420324,0.45234688794723954,-0.21678402262765464,0.14206954859828733,0.36118402895515883,0.280559017946926,-0.11832554875231782,0.1546958540500114,0.0002649137389541201,-0.15265683422425075,-0.04251265328935686,0.18919096577625352,1.0,0.7396922819879378,-0.05729267702453393,0.004192511207847107,-0.10369762994094789,0.005885193046039955,-0.03411513133323074
tag_CommonStockValue,0.35531752398199123,0.27126715662555867,0.2478708535051507,0.5156886808401784,-0.26930781901624556,0.1683288528367756,0.32604897229773594,0.2087641979650518,-0.09593281669289225,0.2039427123308476,0.3552771047095905,0.09104404835000998,-0.036306433164066024,0.24302870734012122,0.7396922819879378,1.0,-0.03599368215963037,0.0010212441376890888,-0.07504635792137636,-0.006096103743424247,-0.046401797382992466
macro_interest_rate,-0.0015992350509690366,0.013196081054206398,-0.028180186391747124,0.07127377360836927,-0.04108713711828179,0.09305371809794986,-0.05114732498970873,0.010890466666889382,0.6290508819003623,0.04623867918858853,0.03969162859521819,0.08771202665660952,0.11313424650778472,0.01742092619600323,-0.05729267702453393,-0.03599368215963037,1.0,-0.07562413052974477,-0.0034605936287201017,-0.10889046351332707,-0.15887160683440635
