feature,psi_value,ks_statistic,ks_p_value,status,drift_detected,train_mean,test_mean,train_std,test_std
macro_inflation,8.1858,1.0,0.0,CRÍTICO: Data Drift Severo (Reentrenamiento Requerido),True,242.8568808174807,309.3455880598932,13.147103026470514,13.34243048166615
macro_interest_rate,5.2032,0.8172,0.0,CRÍTICO: Data Drift Severo (Reentrenamiento Requerido),True,0.5513309175963188,3.825972153148017,0.7382530639229193,1.6401537510952353
macro_real_gdp_growth_yoy,1.8235,0.3048,0.0,CRÍTICO: Data Drift Severo (Reentrenamiento Requerido),True,2.3436449392445935,2.6011950967277095,2.387979049223953,0.6455213432339965
macro_regime_expansion_prob,1.0968,0.5103,0.0,CRÍTICO: Data Drift Severo (Reentrenamiento Requerido),True,0.4421688914299011,0.12516269087791443,0.4881654679775238,0.3279487192630768
market_news_sentiment_mean,0.9154,0.1923,0.0,CRÍTICO: Data Drift Severo (Reentrenamiento Requerido),True,0.052975318182408505,0.06344414054224538,0.04055815280294925,0.028567364009874665
news_sentiment_range_6m,0.574,0.1512,0.0,CRÍTICO: Data Drift Severo (Reentrenamiento Requerido),True,0.4071218121668501,0.39477883757870136,0.6689067448205902,0.5773637260584084
news_sentiment_avg,0.5517,0.256,0.0,CRÍTICO: Data Drift Severo (Reentrenamiento Requerido),True,0.05328828639438634,0.0449476768202882,0.12539439267743702,0.18286601111629006
tag_NetIncomeLoss,0.1193,0.0904,0.0,Deriva Moderada (Monitorear),True,25755499.33099604,145052824.56055582,24212612159.339775,4755121975.549795
tag_RetainedEarningsAccumulatedDeficit,0.1105,0.104,0.0,Deriva Moderada (Monitorear),True,962021693.0669616,1026320359.2496836,9052740673.937668,174472879393.32916
tag_CommonStockParOrStatedValuePerShare,0.0969,0.1302,0.0,Estable (Sin Acción),True,61602.11607883122,15053.158934157265,20805978.888549242,1906583.998791924
tag_Assets,0.0812,0.0945,0.0,Estable (Sin Acción),True,5458943338.362661,7022943692.740197,51957518357.52464,40397174340.070694
tag_CommonStockSharesAuthorized,0.0604,0.1223,0.0,Estable (Sin Acción),True,4058553876920468.0,20761567290324.047,2.0105345781635763e+18,4554355738005936.0
tag_CommonStockValue,0.0542,0.0936,0.0,Estable (Sin Acción),True,89456453.90967935,116132932.65770079,951840347.9402337,1306724151.7321205
merton_distance_to_default,0.0492,0.0714,0.0,Estable (Sin Acción),True,12.984641741774745,16.53296220134485,602.2677597930154,32.80830909323181
market_cap,0.0401,0.0934,0.0,Estable (Sin Acción),True,90389663470694.88,1418290125503.351,2.5065674348159716e+16,158141415194487.56
tag_WorkingCapital,0.0399,0.0617,2.9515e-198,Estable (Sin Acción),True,322962827.44912434,371791972.96185595,2374761154.763659,2661955959.4997897
corp_archetype_prob_2,0.0346,0.0356,2.23e-87,Estable (Sin Acción),False,0.38420358300209045,0.4051670432090759,0.47968700528144836,0.4833654761314392
stock_price_close,0.0318,0.1045,0.0,Estable (Sin Acción),True,18327.153465984036,9312.241674683832,1613824.176850321,1451501.594821605
tag_EntityCommonStockSharesOutstanding,0.0197,0.0472,1.9938e-152,Estable (Sin Acción),False,243672875139.3741,2856834068.5130396,99582211355191.14,395896960638.5399
corp_archetype_prob_1,0.0089,0.0218,4.344e-33,Estable (Sin Acción),False,0.20942316949367523,0.20779089629650116,0.4068121910095215,0.40555351972579956
pub_lag_days,0.0038,0.017,2.5487e-20,Estable (Sin Acción),False,57.080503065024956,54.642861074921555,76.88543149739527,69.51915500587589
