model_name,horizon,target_col,tau_threshold,pr_auc,roc_auc,recall_pct,precision_pct,specificity_pct,f1_score,false_negatives_fn,false_positives_fp,true_positives_tp,true_negatives_tn,total_cost_usd,net_pnl_usd,sample_size
LightGBM,12M,target_bankrupt_12m,0.15,0.8116,0.9824,98.63,34.78,85.44,0.5143,2,270,144,1584,79500000.0,316500000.0,2000
Random Forest,12M,target_bankrupt_12m,0.13,0.8492,0.988,99.32,39.51,88.03,0.5653,1,222,145,1632,61500000.0,346500000.0,2000
CatBoost GPU,12M,target_bankrupt_12m,0.04,0.8089,0.9793,95.89,41.3,89.27,0.5773,6,199,140,1655,85750000.0,328000000.0,2000
XGBoost,12M,target_bankrupt_12m,0.16,0.8345,0.9859,98.63,41.98,89.27,0.589,2,199,144,1655,61750000.0,352000000.0,2000
Logistic Regression,12M,target_bankrupt_12m,0.09,0.2898,0.8916,99.32,12.83,46.87,0.2273,1,985,145,869,252250000.0,-35000000.0,2000
LightGBM,24M,target_bankrupt_24m,0.084,0.7922,0.9707,96.79,36.42,82.57,0.5292,6,316,181,1497,115000000.0,259250000.0,2000
Random Forest,24M,target_bankrupt_24m,0.095,0.8148,0.9728,94.65,41.94,86.49,0.5813,10,245,177,1568,121250000.0,270750000.0,2000
CatBoost GPU,24M,target_bankrupt_24m,0.044,0.7828,0.966,89.84,50.45,90.9,0.6462,19,165,168,1648,155250000.0,256750000.0,2000
XGBoost,24M,target_bankrupt_24m,0.11,0.8062,0.9723,94.65,44.36,87.76,0.6041,10,222,177,1591,115500000.0,282250000.0,2000
Logistic Regression,24M,target_bankrupt_24m,0.075,0.3416,0.8813,98.4,15.86,46.17,0.2732,3,976,184,837,262000000.0,-52750000.0,2000
