feature,importance,pillar
tag_OperatingIncomeLoss,16.47641764613564,Contabilidad & Ratios Financieros
ratio_working_capital_to_assets,5.322095084121738,Contabilidad & Ratios Financieros
tag_Assets,4.903244663725094,Contabilidad & Ratios Financieros
tag_StockholdersEquity,3.972160838956526,Contabilidad & Ratios Financieros
tag_WorkingCapital,3.949109765513999,Contabilidad & Ratios Financieros
stock_price_close,3.6875802465608265,Cotizaciones Bursátiles & Merton KMV
tag_AssetsCurrent,3.6340957271236487,Contabilidad & Ratios Financieros
ratio_current_ratio,3.515437399610366,Contabilidad & Ratios Financieros
merton_distance_to_default,3.356407593409395,Cotizaciones Bursátiles & Merton KMV
tag_EBIT_combined,2.839319848187936,Contabilidad & Ratios Financieros
stock_volatility_30d,2.8096448520980117,Cotizaciones Bursátiles & Merton KMV
market_cap,2.6958511775522456,Cotizaciones Bursátiles & Merton KMV
ohlson_o_score,2.586592347920066,Contabilidad & Ratios Financieros
macro_inflation,2.5394989652631503,Macroeconómico FRED
ratio_ebit_to_assets,2.5168574903344916,Contabilidad & Ratios Financieros
tag_LiabilitiesAndStockholdersEquity,2.2751053150905265,Contabilidad & Ratios Financieros
zmijewski_score,2.144346361685193,Contabilidad & Ratios Financieros
tag_LiabilitiesCurrent,2.098593650772223,Contabilidad & Ratios Financieros
sector_division_Finanzas_Banca_RealEstate,1.7605217419330579,Categóricas & Estrés Contable
tag_InterestExpense,1.6760512024432406,Contabilidad & Ratios Financieros
springate_score,1.4537356442221834,Contabilidad & Ratios Financieros
ratio_debt_to_equity,1.3826177178208416,Contabilidad & Ratios Financieros
pub_lag_days,1.2762264584539518,Categóricas & Estrés Contable
is_distress_event,1.271314200993748,Categóricas & Estrés Contable
altman_z_score,1.2280123740705964,Contabilidad & Ratios Financieros
tag_NetCashProvidedByUsedInOperatingActivities,1.2042650050627584,Contabilidad & Ratios Financieros
derived_total_liabilities,1.1533419973059567,Categóricas & Estrés Contable
ratio_leverage,1.074599686198236,Contabilidad & Ratios Financieros
tag_NetIncomeLoss,0.9948063955418123,Contabilidad & Ratios Financieros
tag_RetainedEarningsAccumulatedDeficit,0.8469907474346667,Contabilidad & Ratios Financieros
ratio_roa,0.805562490837997,Contabilidad & Ratios Financieros
tag_NetCashProvidedByUsedInInvestingActivities,0.7591555759078579,Contabilidad & Ratios Financieros
tag_CommonStockSharesAuthorized,0.7090093931616805,Contabilidad & Ratios Financieros
macro_real_gdp,0.6920692034898238,Macroeconómico FRED
tag_EntityCommonStockSharesOutstanding,0.6181753805097341,Contabilidad & Ratios Financieros
macro_interest_rate,0.5903735721573545,Macroeconómico FRED
ratio_quick_cash_ratio,0.5268360615318886,Contabilidad & Ratios Financieros
tag_CommonStockValue,0.5063639349470638,Contabilidad & Ratios Financieros
ratio_operating_margin,0.5028037634568395,Contabilidad & Ratios Financieros
sic_4911,0.4255427945427723,Categóricas & Estrés Contable
ratio_roe,0.38921175286641974,Contabilidad & Ratios Financieros
tag_CommonStockSharesIssued,0.37874436615109414,Contabilidad & Ratios Financieros
is_distress_event_1,0.3677247273546558,Categóricas & Estrés Contable
tag_NetCashProvidedByUsedInFinancingActivities,0.3466952041294482,Contabilidad & Ratios Financieros
macro_yield_curve,0.34254815963299695,Macroeconómico FRED
ratio_ocf_to_liabilities,0.30918185464050774,Contabilidad & Ratios Financieros
insider_net_value_usd,0.3074332071217193,SEC Insider Transactions
stock_return_12m,0.2383100514930935,Cotizaciones Bursátiles & Merton KMV
tag_CashAndCashEquivalentsAtCarryingValue,0.2158292809444768,Contabilidad & Ratios Financieros
price_to_book,0.20399034207441435,Cotizaciones Bursátiles & Merton KMV
tag_CommonStockSharesOutstanding,0.17142571358826827,Contabilidad & Ratios Financieros
macro_real_gdp_growth_qoq,0.1667076532466794,Macroeconómico FRED
is_amendment,0.16268562726163455,Categóricas & Estrés Contable
insider_num_sellers,0.15892207800169256,SEC Insider Transactions
ratio_asset_turnover,0.14973152078986854,Contabilidad & Ratios Financieros
macro_unemployment_rate,0.14098451432207718,Macroeconómico FRED
stock_return_1m,0.13360597980991407,Cotizaciones Bursátiles & Merton KMV
sic_5812,0.12354716377429689,Categóricas & Estrés Contable
sic_4924,0.12184942713016182,Categóricas & Estrés Contable
tag_EntityPublicFloat,0.10321215346704488,Contabilidad & Ratios Financieros
sic_6770,0.10065537740949652,Categóricas & Estrés Contable
tag_IncomeTaxExpenseBenefit,0.10040411580481462,Contabilidad & Ratios Financieros
sic_7372,0.09854006377585907,Categóricas & Estrés Contable
sic_3490,0.08421595941780022,Categóricas & Estrés Contable
tag_CommonStockParOrStatedValuePerShare,0.08204257295160558,Contabilidad & Ratios Financieros
tag_Revenues,0.07640452970860206,Contabilidad & Ratios Financieros
